"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
8,7,7,7,8,8,9,7,6,7,6,8,8,7,6,7,7,6,7,7,7,8,8,8,7,7,7,8,9,7,9,8
9,7,7,7,7,7,7,7,7,7,7,8,6,8,8,8,7,6,7,8,9,8,7,7,7,8,7,7,10,7,9,7
10,7,8,8,8,7,8,7,7,9,8,7,7,8,9,7,8,7,7,7,9,11,8,10,8,8,7,8,8,7,9,8
9,7,6,7,7,6,7,8,8,8,8,7,7,8,8,7,7,8,7,9,8,9,7,7,8,6,8,7,8,8,8,7
8,9,6,9,9,7,7,7,7,8,8,7,8,8,9,8,8,7,8,8,8,9,8,8,8,7,8,9,8,8,9,9
8,7,8,7,9,8,8,7,11,8,8,7,8,8,9,7,7,7,7,8,7,10,7,8,7,8,7,7,8,9,10,7
9,7,8,7,9,7,7,8,8,8,8,8,7,8,8,7,8,7,8,8,8,11,6,9,8,8,7,9,8,8,9,7
8,7,6,10,7,9,8,7,8,7,8,9,8,10,8,8,7,7,8,9,8,10,8,9,8,8,7,8,7,8,9,7
8,8,7,7,7,8,8,7,9,7,10,7,8,7,9,8,8,6,8,8,7,11,8,8,9,8,7,8,9,9,8,7
9,8,8,7,8,9,8,7,7,8,7,8,7,9,8,7,7,7,7,9,7,8,8,9,7,7,8,8,8,8,9,7
